City,County,State,Min Year,Max Year,Year Difference,city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Washington,District of Columbia,District Of Columbia,2000,2014,14,Washington,Washington,IA,Iowa,19183.0,Washington,41.2981,-91.6928,7314.0,522.5,shape,False,True,America/Chicago,3.0,52353,1840010255.0
Washington,District of Columbia,District Of Columbia,2000,2014,14,Washington,Washington,NJ,New Jersey,34041.0,Warren,40.7587,-74.9825,7287.0,1431.7,shape,False,True,America/New_York,3.0,07882,1840000945.0
Washington,District of Columbia,District Of Columbia,2000,2014,14,Washington,Washington,GA,Georgia,13317.0,Wilkes,33.7355,-82.7426,3700.0,185.6,shape,False,True,America/New_York,3.0,30673,1840015641.0
Washington,District of Columbia,District Of Columbia,2000,2014,14,Washington,Washington,KS,Kansas,20201.0,Washington,39.816,-97.0487,1199.0,476.3,shape,False,True,America/Chicago,3.0,66968,1840000724.0
Washington,District of Columbia,District Of Columbia,2000,2014,14,Washington,Washington,WV,West Virginia,54107.0,Wood,39.2422,-81.6679,1129.0,102.6,shape,False,False,America/New_York,3.0,26181,1840005785.0
Washington,District of Columbia,District Of Columbia,2000,2014,14,Washington,Washington,LA,Louisiana,22097.0,St. Landry,30.615,-92.0594,864.0,403.2,shape,False,True,America/Chicago,3.0,70589,1840017175.0
Washington,District of Columbia,District Of Columbia,2000,2014,14,Washington,Washington,OK,Oklahoma,40087.0,McClain,35.0582,-97.4923,706.0,188.1,shape,False,True,America/Chicago,3.0,73093,1840022785.0
Washington,District of Columbia,District Of Columbia,2000,2014,14,Washington,Washington,NE,Nebraska,31177.0,Washington,41.3976,-96.2074,178.0,145.0,shape,False,True,America/Chicago,3.0,68068,1840011529.0
Washington,District of Columbia,District Of Columbia,2000,2014,14,Washington,Washington,CA,California,6057.0,Nevada,39.3591,-120.7905,124.0,25.2,shape,False,False,America/Los_Angeles,3.0,95959 95986,1840026657.0
Washington,District of Columbia,District Of Columbia,2000,2014,14,Washington,Washington,AR,Arkansas,5057.0,Hempstead,33.773,-93.6833,106.0,40.6,shape,False,True,America/Chicago,3.0,71862,1840015639.0
Washington,District of Columbia,District Of Columbia,2000,2014,14,Washington,Washington,VA,Virginia,51157.0,Rappahannock,38.7122,-78.1598,61.0,153.4,shape,False,True,America/New_York,3.0,22747,1840006130.0
East Saint Louis,Saint Clair,Illinois,2001,2014,13,,,,,,,,,,,,,,,,,
